Number,Location,Author(s),Title,Publisher,Year,ISBN,Notes,Language,Resources,Related Materials,Media
116,A2," Alexander, George and Michael
Cunningham"," Queens: Portraits of Black Women and Their
Fabulous Hair",New York: Doubleday,2005," ISBN-13: 9780385514620
ISBN-10: 038551462X",Photography,,,,
117,A2," Brown, Stephen and Norman L. Kleeblatt"," From the Margins: Lee Krasner/Norman Lewis, 1945-1952",New York: Jewish Museum,2014," ISBN-13: 9780300206494
ISBN-10: 0300206496",Artist monograph Exhibition catalogue Painting,,,,
118,A2," Sills, Leslie",Visions: Stories about Women Artists,Morton Grove: Alan Whitman & Co.,1993," ISBN-13: 9780807584910
ISBN-10: 0807584916",Women artists,,,,
119,A2," Césaire, Aimé",Discourse on Colonialism,New York: Monthly Review Press,2001," ISBN-13: 9781583670255
ISBN-10: 1583670254"," History Politics
Postcolonial Theory",,,,
120,A2," Francis, Jacqueline and Erica Moiah
James"," Point of View: African American Art from the
Elliot and Kimberly Perry Collection"," Detroit: Charles H. Wright Museum of
African American History; Flint: Flint Institute of Arts",2014," ISBN-13: 9780615905501
ISBN-10: 0615905501"," African American art
Collectors",,,,
121,A2," Filipovic, Elena",David Hammons: Bliz-aard Ball Sale," London: Afterall Books; Cambridge:
MIT Press",2017," ISBN-13: 9781846381867
ISBN-10: 184638186X",Artist monograph,,,,
122,A2," Kher, Bharti and Stephanie Rosenthal",Bharti Kher: The Breathing House,London: Hauser & Wirth Publishers; Freud Museum,2016," ISBN-13: 9783952446157
ISBN-10: 3952446157",Artist monograph Exhibition catalogue,," https://www.freud.org. uk/exhibitions/bharti-kher-this-
breathing-house/",,
123,A2," Cloth, Frederic and Kristina Van
Dyke",Kota: Digital Excavations in African Art,St. Louis: Pulitzer Arts Foundation,2015," ISBN-13: 9780982334782
ISBN-10: 0982334788"," Exhibition catalogue
African art",," https://pulitzerarts.org/art/kota-digital-
excavations-in-african-art/",,
124,A2," Moore, Kevin"," Old Paris and Changing New York: Photographs by Eugène Atget and Berenice
Abbott"," Cincinnati: FotoFocus and the Taft Museum of Art; New Haven: Yale
University Press",2018," ISBN-13: 9780300235791
ISBN-10: 0300235798",Artist monograph Photography,,,,
125,A2," Hartman, Saidiya"," Wayward Lives, Beautiful Experiments: Intimate Histories of Social Upheaval",New York: W. W. Norton & Company,2019," ISBN-13: 9780393285673
ISBN-10: 0393285677",African American Studies Women's Studies,,,,
126,E2," Borysevicz, Mathieu, ed."," The Book about Xu Bing's Book From the
Ground"," North Adams: Massachusetts Museum
of Contemporary Art; Cambridge: The MIT Press",2014," ISBN-13: 9780262027427
ISBN-10: 0262027429",Artist monograph,,,,
127,A2," Gainer, Nichelle",Vintage Black Glamour,London: Rocket 88,2014," ISBN-13: 9781906615895
ISBN-10: 1906615896"," Photography
Fashion",,,,
128,A2," Frazier, LaToya Ruby, Karsten Lund, and Solvieg Øvstebø, eds.",LaToya Ruby Frazier: The Last Cruze,Chicago: The Renaissance Society at the University of Chicago,2020," ISBN-13: 9780941548793
ISBN-10: 0941548791",Artist monograph Exhibition catalogue Photography,,https://renaissancesociety. org/exhibitions/536/latoya-ruby-frazier- the-last-cruze/,,
129,E2,Teri Greeves and Jill Ahlberg Yohe,Hearts of Our People: Native Women Artists," Minneapolis: Minneapolis Institute of
Art; Seattle: University of Washington Press",2019," ISBN-13: 9780295745794
ISBN-10: 0295745797"," Exhibitionc catalogue
Women artists Native American art",," https://new.artsmia.org/hearts-of-our-
people-native-women-artists/ https://americanart.si. edu/exhibitions/native-women-artists",,
130,A2," Perry, Imani",Breathe: A Letter to My Sons,Boston: Beacon Press,2019," ISBN-13: 9780807076552
ISBN-10: 0807076554",African American Studies,,,,
131,A3,Maripol and Marc Jacobs,Maripol: Little Red Riding Hood,Bologna: Damiani,2010," ISBN-13: 9788862081368
ISBN-10: 8862081367"," Fashion
Photography",,,,
132,E1," Keith,  Naima J. and Zoé Whitley",The Shadows Took Shape,New York: Studio Museum in Harlem,2013," ISBN-13: 9780942949377
ISBN-10: 0942949374",Exhibition catalogue Afrofuturism,,https://studiomuseum. org/exhibition/shadows-took-shape,,
133,A2," Perry, Imani",Vexy Thing: On Gender and Liberation,Durham: Duke University Press,2018," ISBN-13: 9781478000815
ISBN-10: 1478000813"," African American Studies
Black Feminist Theory",,,,
134,A2," Moorhouse, Paul"," Bridget Riley: A Very, Very Person: The Early
Years",London: Ridinghouse,2019," ISBN-13: 9781909932500
ISBN-10: 1909932507"," Artist biography
Women artists",,,,
135,A2," Croquer, Luis A., Jennifer Wulffson Bedford, and Jennie C. Jones",Louise Nevelson: I Must Recompose the Environment,Los Angeles: Inventory Press,2018,ISBN-13: 9781941753231 ISBN-10: 194175323X,Artist monograph,,,,
136,A3," Reynolds, Gary A. and Beryl J.
Wright"," Against the Odds: African American Artists and
the Harmon Foundation",Newark: Newark Museum,1989," ISBN-13: 9780932828217
ISBN-10: 0932828213"," African American Art History
Exhibition catalogue",,,,
137,A3," Kolfin, Elmer and Epco Runia, eds.",Black in Rembrandt's Time,Zwolle: WBOOKS,2020," ISBN-13: 9789462583726
ISBN-10: 9462583722",Exhibition catalogue,,,,
138,A3," Corn, Wanda M.",Georgia O'Keeffe: Living Modern,Brooklyn: Brooklyn Museum; Munich; New York: DelMonico Books/Prestel,2017," ISBN-13: 9780872731820
ISBN-10: 0872731820"," Artist monograph Exhibition catalogue
Women artists",," https://www.brooklynmuseum. org/exhibitions/georgia_okeeffe_living_
modern",,
139,A3," Berry, Ian, Darby English, Vivian Patterson, and Mark Reinhardt, eds.",Kara Walker: Narratives of a Negress," Saratoga Springs: Frances Young Tang Teaching Museum and Art Gallery at Skidmore College; Williamstown: Williams College Museum of Art;
Cambridge: MIT Press",2003,ISBN-13: 9780262025409 ISBN-10: 026202540X,Artist monograph Exhibition catalogue Women artists,,https://tang.skidmore. edu/exhibitions/179-kara-walker- narratives-of-a-negress,,
140,A3," Forrer, Matthi",Hokusai,New York: Barnes & Noble,2002," ISBN-13: 9780760735350
ISBN-10: 0760735352",Artist monograph Printmaking Asian art,,,,
141,A3," Scarlata, Jessica, ed.",Norman Lewis : Pulse,New York: Michael Rosenfeld Gallery,2009," ISBN-13: 9781930416475
ISBN-10: 1930416474"," Artist monograph
Exhibition catalogue Painting",," https://www.michaelrosenfeldart.
com/exhibitions/norman-lewis-pulse-a- centennial-exhibition",,
142,A3," Rajaratnam, Sukanya",Alma Thomas: Resurrection,New York: Mnuchin Gallery,2019," ISBN-13: 9781734105902
ISBN-10: 1734105909"," Artist monograph Exhibition catalogue Painting
Women artists",,https://www.mnuchingallery. com/exhibitions/alma-thomas#tab: slideshow;tab-1:slideshow,,
143,A2," Rosen, Barry, ed. with assistance of Tamara Bloomberg",Eva Hesse: Diaries,New Haven: Yale University Press; Hauser & Wirth Publishers,2016," ISBN-13: 9783906915586
ISBN-10: 3906915581",Artist biography Women artists,,,,
144,A2," Roselione-Valadez, Juan, ed.",30 Americans: Rubell Family Collection,3rd ed. Miami: Rubell Family Collection,2013," ISBN-13: 9780982119594
ISBN-10: 0982119593",Exhibition catalogue,,https://rubellmuseum.org/30-americans,,
145,A3," Barnes, Susan J.",The Rothko Chapel: An Act of Faith,2nd ed. Houston: The Rothko Chapel,1996," ISBN-13: 9780945472025
ISBN-10: 0945472021",Artist monograph Painting,,https://www.rothkochapel.org/,,
146,A3," Imes, Birney",Juke Joint: Photographs,Jackson: University Press of Mississippi,1990," ISBN-13: 9780878054374
ISBN-10: 0878054375",Photography,,,,
147,A3," Scarlata, Jessica, ed.",Charles White: Let the Light Enter,New York: Michael Rosenfeld Gallery,2009," ISBN-13: 9781930416468
ISBN-10: 1930416466",Artist monograph Exhibition catalogue,,https://www.michaelrosenfeldart. com/exhibitions/charles-white-let-the- light-enter-major-drawings-1942-1970,,
148,A3," Ligon, Glenn",Blue Black,St. Louis: Pulitzer Arts Foundation,2017," ISBN-13: 9780997690149
ISBN-10: 0997690143",Exhibition catalogue,," https://pulitzerarts.org/art/blue-black-
curated-by-glenn-ligon/",,
149,A3," Shiff, Richard"," More Dimensions Than You Know: Jack Whitten, Paintings 1979-1989",London: Hauser & Wirth Publishers,2017," ISBN-13: 9783906915067
ISBN-10: 3906915069",Artist monograph Exhibition catalogue Painting,," https://www.hauserwirth.com/hauser- wirth-exhibitions/5876-more- dimensions-than-you-know-jack-
whitten-1979-1989/",,
150,A3," Schimmel, Paul"," Philip Guston: Painter, 1957-1967",New York: Hauser & Wirth Publishers,2016," ISBN-13: 9783952446126
ISBN-10: 3952446122",Artist monograph Exhibition catalogue Painting,,https://www.hauserwirth.com/hauser- wirth-exhibitions/5574-philip-guston- painter-1957-1967/,,
151,A3," Sussman, Elisabeth"," Gordon Matta Clark: ""You Are The Measure""",New Haven: Yale University Press,2007," ISBN-13: 9780300123951
ISBN-10: 0300123957"," Artist monograph
Exhibition catalogue",," https://whitney.org/exhibitions/gordon-
matta-clark",,
152,A3," Canedy, Dana, Darcy Eveleigh, Damien Cave, and Rachel L. Swarns",Unseen: Unpublished Black History from the New York Times Photo Archives,New York: Black Dog & Leventhal Publishers,2017," ISBN-13: 9780316552967
ISBN-10: 0316552968",Photography,,,,
153,A3," Reilly, F. Kent and Eric D. Singleton,
eds."," Rediscovering Ancient Spiro: Native American
Art, Ritual, and Cosmic Renewal"," Oklahoma: National Cowboy and
Western Heritage Museum",2020," ISBN-13: 9781733435505
ISBN-10: 1733435506"," Exhibition catalogue
Native American art",,https://spiromounds.com/,,
154,A3," Baumgarten, Linda and Kimberly Smith Ivey",Four Centries of Quilts: The Colonial Williamsburg Collection," Williamsburg: Colonial Williamsburg Foundation ; New Haven: Yale
University Press",2014," ISBN-13: 9780300207361
ISBN-10: 0300207360",Craft Quits,,,,
155,A3," Stanislaus, Grace",Contemporary African Artists: Changing Tradition,New York: Studio Museum in Harlem,1990,ISBN-13: 9780942949032 ISBN-10: 094294903X,Exhibition catalogue African art,,,,
156,A3," Celestan, Karen and Eric Waters"," Freedom's Dance: Social, Aid and Pleasure Clubs in New Orleans",Baton Rouge: Louisiana State University Press,2018," ISBN-13: 9780807168837
ISBN-10: 0807168831"," African American History Photography
Performing Arts",,,,
157,E2," McCollum, Michael",The Wat We Wore: Black Style Then,New York: Glitterati Incorporated,2006," ISBN-13: 9780989170444
ISBN-10: 0989170446"," African American History Photography
Fashion",,,,
158,A3," Hockley, Rujeko and Catherine",We Wanted a Revolution: Black Radical,Brooklyn: Brooklyn Museum of Art;,2017,ISBN-13: 9780872731837,Exhibition catalogue,,https://www.brooklynmuseum.org/exhibitions/we_wanted_a_revolution/,,
Duplicate,," Morris, eds."," Women, 1965-85: A Source Book",Durham: Duke University Press,,ISBN-10: 0872731839,Anthology,,,,
Book,,,,,,," African American Art History
Women artists",,,,
159,A3," Klüver, Billy and Julie Martin",Kiki's Paris: Artists and Lovers 1900-1930,New York: Abrams,1994," ISBN-13: 9780810925915
ISBN-10: 0810925915",Modern art,,,,
160,A3," Faustine, Nona",Nona Faustine: White Shoes,New York: MACK Books,2021," ISBN-13: 9781913620516
ISBN-10: 1913620514",Artist book Photography Signed by the artist,,,,
161,A3," Godfrey, Mark and Zoé Whitley, eds.",Soul of a Nation: Art in the Afe of Black Power,London: Tate Publishing,2017," ISBN-13: 9781942884170
ISBN-10: 1942884176"," Exhibition catalogue
African American Art History",," https://www.tate.org.uk/whats-on/tate- modern/soul-nation-art-age-black-power https://www.brooklynmuseum.
org/exhibitions/soul_of_a_nation",,
162,A3," Summers, Barbara",Black and Beautiful: How Women of Color Changed the Fashion Industry,New York: Amistad Press,2001,ISBN-13: 9780060958121 ISBN-10: 006095812X,African American History Fashion,,,,
163,A3," Odutola, Toyin, Leigh Raiford, and
Emily Kuhlman",Toyin Ojih Odutola: A Matter of Fact," San Francisco: Museum of the African
Diaspora",2018," ISBN-13: 9781944903688
ISBN-10: 1944903682"," Artist monograph
Exhibition catalogue",,,,
164,A3," Stone, Joel, ed."," Detroit 1967: Origins, Impacts, Legacies",Detroit: Wayne State University Press,2017," ISBN-13: 9780814343036
ISBN-10: 0814343031",African American History Urban Studies,,,,
165,A3," Visonà, Monica Blackmun, Robin Poynor, Herbert M. Cole, and Michael D. Harris",A History of Art in Africa," New York: Harry N. Abrams; Upper Saddle River: Prentice Hall, Inc.",2001," ISBN-13: 9780134421872
ISBN-10: 0134421876",African art Textbook,,,,
166,A3," Clark, Robin and Cliff Lauson",Larry Bell,New York: Rizzoli Electa,2018," ISBN-13: 9780847863402
ISBN-10: 0847863409",Artist monograph,,,,
167,B1," Murrell, Denise",Posing Modernity: The Black Model from Manet and Matisse to Today," New Haven: Yale University Press; New York: The Miriam and Ira D. Wallach Art Gallery, Columbia University in the City of New York",2018," ISBN-13: 9780300229066
ISBN-10: 0300229062"," Exhibition catalogue Art History
Modern art",," https://wallach.columbia. edu/exhibitions/posing-modernity-black- model-manet-and-matisse-today-le- mod%C3%A8le-noir-de-g%C3%A9ricault-
%C3%A0
https://www.musee-orsay. fr/fr/expositions/le-modele-noir-de- gericault-matisse-196083",,
168,A3,Print Club London," Screenprinting: The Ultimate Studio Guide, from Sketchbook to Squeegee",New York: Princeton Architectural Press,2017," ISBN-13: 9781616896553
ISBN-10: 1616896558",Printmaking,,,,
169,A3," Geldzahler, Henry, Narcissus
Quagliata, and Patterson Sims"," William Morris: Glass, Artifact and Art",Seattle: University of Washington Press,1989," ISBN-13: 9780295969176
ISBN-10: 0295969172"," Glass
Craft",,,,
170,A3," Magnin, André, Alison de Lima Greene, Alvia J. Wardlaw, and
Thomas McEvilley",African Art Now: Masterpieces from the Jean Pigozzi Collection,London; New York: Merrell Publishers; Houston: Museum of Fine Arts Houston,2005,ISBN-13: 9780890902950 ISBN-10: 089090295X," Exhibition catalogue African art
Collectors",,https://africa.si.edu/exhibits/pigozzi/index.html,,
171,E2," Landis, Ellen",Zones of Experience: The Art of Larry Bell,Albuquerque: Albuquerque Museum,1997," ISBN-13: 9780826330215
ISBN-10: 0826330215"," Artist monograph
Exhibition catalogue",,,,
172,A3," Skerrit, Henry, ed.",The Inside World: Contemporary Aboriginal Australian Memorial Poles from the Debra and Dennis Scholl Collection,Munich; New York : DelMonico Books·Prestel; Reno: Nevada Museum of Art,2019," ISBN-13: 9783791358161
ISBN-10: 3791358162",Exhibition catalogue Aboriginal art Collectors,,https://www.nevadaart. org/art/exhibitions/inside-world/,,
173,A3," Burton, Johanna, Shannon Jackson,
and Dominic Willsdon, eds."," Public Servants: Art and the Crisis of the
Common Good"," Cambridge: MIT Press; New York: New
Museum",2016," ISBN-13: 9780262034814
ISBN-10: 0262034816",Politics,,,,
174,E2," Marrow, Marva",Inside the L.A. Artist,Salt Lake City: Peregrine Smith Books,1988," ISBN-13: 9780879052973
ISBN-10: 087905297X"," Artist biography
Women artists",,,,
175,E2," Hine, Darlene Clark, ed.",Black Women in America [vol. 1],2nd ed. New York; Oxford: Oxford University Press,2005," ISBN-13: 9780195156775
ISBN-10: 0195156773",African American History African American Women Encyclopedia,,,,
176,E2," Hine, Darlene Clark, ed.",Black Women in America [vol. 2]," 2nd ed. New York; Oxford: Oxford
University Press",2005," ISBN-13: 9780195156775
ISBN-10: 0195156773"," African American History
African American Women Encyclopedia",,,,
177,E2," Hine, Darlene Clark, ed.",Black Women in America [vol. 3],2nd ed. New York; Oxford: Oxford University Press,2005," ISBN-13: 9780195156775
ISBN-10: 0195156773",African American History African American Women Encyclopedia,,,,
178,E2," Hine, Darlene Clark, Elsa Barkley Brown, Rosalyn Terborg-Penn, eds.",Black Women in America: An Historical Encyclopedia [vol. 1],Brooklyn: Carlson Publishing Inc.,1993," ISBN-13: 9780926019614
ISBN-10: 0926019619",African American History African American Women Encyclopedia,,,,
179,E2," Hine, Darlene Clark, Elsa Barkley
Brown, Rosalyn Terborg-Penn, eds."," Black Women in America: An Historical
Encyclopedia [vol. 2]",Brooklyn: Carlson Publishing Inc.,1993," ISBN-13: 9780926019614
ISBN-10: 0926019619"," African American History
African American Women Encyclopedia",,,,
180,B1," Moya, Horacio Castellanos; translated by Katherine Silver",Tyrant Memory: A Novel,New York: New Directions,2011," ISBN-13: 9780811219174
ISBN-10: 0811219178"," Fiction Novel
Signed by the author",,,,
181,B1," Christov-Bakargiev, Carolyn",dOCUMENTA (13): The Guidebook [vol. 3],Ostfildern: Hatje Cantz,2012,ISBN-13: 9783775729543,Exhibition catalogue,," https://www.documenta.
de/en/retrospective/documenta_13",,
182,B1," Clearly, Sophia, Katie Gaydos, and
Yelena Gluzman, eds."," Emergency Index: An Annual Document of
Performance Practice [vol. 6]"," Brooklyn: The Bros. Lumière for Ugly
Duckling Presse",2016," ISBN-13: 9781937027988
ISBN-10: 1937027988"," Performance Art
Anthology",,,,
183,B1," Clearly, Sophia ans Zoe Guttenplan,
eds."," Emergency Index: An Annual Document of
Performance Practice [vol. 8]"," Brooklyn: The Bros. Lumière for Ugly
Duckling Presse",2018," ISBN-13: 9781946433633
ISBN-10: 1946433632"," Performance Art
Anthology",,,,
184,B3," Sharpe, Christina",In the Wake: On Blackness and Being,Durham: Duke University Press,2016,ISBN-13: 9780822362944," Black Studies
Literary Studies Cultural Studies",,,,
185,B1," Nelson, Jill",Finding Martha's Vineyard: African Americans at Home on an Island,New York: Doubleday,2005," ISBN-13: 9780385505666
ISBN-10: 0385505663",African American History Biography,,,,
